filename,person,bicycle,car,motorbike,aeroplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,total
235.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
237.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
238.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
239.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
24.jpg,2,0,1,0,0,0,0,0,0,0,0,0,0,3
247.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
249.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
250.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
251.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
252.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
254.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
256.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
258.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
260.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
261.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
262.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
263.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
264.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
265.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
266.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
267.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
268.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
269.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
27.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
270.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
271.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
272.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
273.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
274.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
275.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
277.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
278.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
28.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
280.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
281.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
282.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
283.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
285.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
286.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
287.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
288.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
289.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
29.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
291.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
292.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
293.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
294.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
295.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
296.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
298.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
299.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30.jpg,0,0,3,0,0,0,0,0,0,0,0,0,0,3
300.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
301.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
302.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
304.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
305.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
306.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
307.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
309.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
31.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
310.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
311.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
314.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
315.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
317.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
318.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
319.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
32.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
320.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
323.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
326.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
327.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
328.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
330.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
331.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
332.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
333.jpg,2,0,1,0,0,0,0,0,0,0,0,0,0,3
334.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
335.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
336.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
337.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
